Areal values from HadUK-Grid 1km gridded climate data from land surface network
Source: Met Office National Climate Information Centre
Monthly, seasonal and annual total precipitation amount for East Anglia
Areal series, starting in 1836
Last updated 01-Jan-2024 10:44
year    jan    feb    mar    apr    may    jun    jul    aug    sep    oct    nov    dec     win     spr     sum     aut     ann
1936   82.0   58.8   19.0   35.5   24.3   91.7  114.0   22.2   65.6   45.7   74.1   41.6   196.3    78.8   227.9   185.4   674.4
1937   92.1   79.7   77.3   68.4   73.5   44.4   48.7   37.4   49.0   48.2   43.8   80.5   213.4   219.3   130.5   141.1   743.2
1938   64.8   17.2    9.9    9.3   50.0   21.2   39.5   42.7   59.8   66.3   57.9   76.8   162.5    69.2   103.4   184.0   515.4
1939  119.9   19.6   47.7   63.8   27.8   44.8   53.3   75.9   33.7  136.0   98.7   39.4   216.3   139.3   174.0   268.4   760.5
1940   43.2   41.2   67.1   37.9   29.1   12.8   83.1    9.9   22.3   56.5  153.1   43.4   123.8   134.1   105.8   231.9   599.6
1941   56.5   51.7   77.5   29.0   48.0   22.3   64.8  103.0   12.3   53.3   60.6   31.1   151.5   154.5   190.0   126.1   609.8
1942   64.5   24.5   44.2   20.5   57.6   17.8   71.6   43.1   41.7   88.6   64.3   57.0   120.1   122.3   132.4   194.6   595.4
1943  100.6   19.8   13.8   24.2   41.3   48.0   27.9   39.3   48.4   42.3   46.8   32.1   177.4    79.3   115.2   137.5   484.5
1944   42.5   31.1    9.5   42.4   26.2   40.8   51.5   49.4   80.5   85.6   91.4   31.9   105.7    78.1   141.7   257.5   582.8
1945   51.0   39.9   27.5   33.3   57.3   47.5   41.4   59.9   51.9   57.6   18.4   67.2   122.9   118.1   148.8   127.9   553.0
1946   36.5   55.0   30.5   26.6   44.8   70.3   92.1   95.2   71.2   36.8   95.9   59.5   158.7   101.9   257.6   203.9   714.4
1947   43.4   41.0  112.5   40.5   16.4   57.8   48.0    4.9   28.1    6.2   31.2   63.1   143.9   169.4   110.7    65.4   492.9
1948   92.5   24.3   18.1   36.0   68.3   67.7   37.5   87.7   41.5   52.0   37.4   43.7   179.8   122.3   192.9   131.0   606.7
1949   26.7   23.9   24.3   39.8   53.4   18.8   42.0   36.3   25.0  104.4   57.8   38.3    94.3   117.6    97.1   187.2   490.8
1950   28.8   79.2   13.5   47.0   53.8   41.9   98.6   59.5   74.4   15.6  104.5   41.8   146.2   114.2   200.0   194.4   658.4
1951   61.3   86.9   79.2   77.5   58.5   30.2   40.1   85.4   64.4   21.7   91.8   39.3   190.0   215.2   155.7   177.9   736.4
1952   51.0   20.3   70.4   33.1   38.1   34.8   21.9   75.7   73.4   57.6   96.2   57.3   110.7   141.6   132.4   227.3   630.1
1953   25.8   35.7   14.2   53.1   38.0   66.0   68.9   54.3   38.7   61.2   33.2   20.1   118.9   105.3   189.2   133.1   509.3
1954   34.0   52.2   56.9    8.4   55.3   61.7   69.1  105.6   42.9   51.5   98.5   48.4   106.3   120.6   236.4   192.9   684.4
1955   51.1   50.3   37.4   11.4   76.6   60.2    7.4   32.9   44.3   84.1   24.0   42.0   149.8   125.3   100.4   152.5   521.7
1956   86.4   25.0   18.5   26.3   16.6   57.8   76.6  106.0   42.5   47.3   23.6   53.4   153.4    61.5   240.4   113.5   580.2
1957   34.5   60.6   40.1    7.0   30.9   46.9   74.7   60.1   86.6   40.4   49.1   52.0   148.5    78.0   181.7   176.1   582.9
1958   56.5   73.6   27.6   27.3   64.1  106.9   78.3   78.2   76.7   53.6   36.3   71.2   182.1   119.1   263.4   166.5   750.3
1959   65.8    3.7   41.5   45.8   15.0   25.8   61.4   32.8    1.6   46.8   52.0   87.6   140.6   102.3   120.1   100.5   479.9
1960   69.5   39.6   33.8   14.3   24.1   45.2   79.9   80.0   93.8  128.4   86.3   80.4   196.7    72.2   205.1   308.5   775.3
1961   67.3   46.6    8.3   49.0   27.9   30.8   42.6   56.1   63.5   82.9   49.8   81.4   194.3    85.2   129.5   196.3   606.2
1962   56.5   19.8   34.6   44.9   45.8    5.6   73.7   51.2   72.5   30.5   47.3   46.1   157.7   125.3   130.4   150.3   528.3
1963   24.6   16.3   65.9   53.0   48.4   46.2   47.3   83.8   47.2   38.8   84.9   16.1    87.0   167.2   177.3   170.9   572.6
1964   19.4   23.7   71.8   63.5   29.4   94.4   31.2   27.9   14.8   36.9   35.4   42.2    59.3   164.7   153.5    87.1   490.6
1965   49.5   20.0   50.9   56.0   40.6   53.4   80.8   60.1  100.6   16.1   63.6  103.9   111.7   147.5   194.3   180.3   695.5
1966   29.6   63.8   14.9   62.2   40.3   69.9   80.6   74.1   26.9   79.2   67.0   74.9   197.3   117.3   224.5   173.2   683.3
1967   31.8   45.0   23.1   58.3   87.1   30.4   39.0   44.6   50.5   91.8   54.7   50.0   151.8   168.5   114.0   197.0   606.3
1968   46.0   32.2   23.7   41.7   43.2   67.8   86.2   88.0  122.5   49.6   43.3   51.2   128.1   108.6   242.0   215.3   695.3
1969   57.3   52.0   57.0   35.1   85.0   39.6   73.4   59.9    4.4    7.1   81.5   63.0   160.6   177.1   172.9    93.0   615.4
1970   61.9   55.9   45.0   67.6   18.7   28.0   44.5   39.2   43.6   26.9  139.1   47.1   180.8   131.3   111.8   209.6   617.6
1971   73.1   15.7   41.5   28.9   39.0   74.8   36.2   70.6   21.3   57.3   80.5   27.1   135.9   109.4   181.6   159.1   565.9
1972   61.8   34.9   41.3   42.0   38.3   36.2   50.1   23.0   39.0    7.2   57.4   48.3   123.8   121.5   109.3   103.6   479.3
1973   16.5   20.9   13.4   52.4   64.6   59.9   64.7   25.2   79.3   36.7   29.4   34.6    85.6   130.4   149.7   145.3   497.4
1974   44.9   57.9   26.2   11.4   19.0   52.9   46.1   84.4   91.8   99.6  107.9   32.4   137.4    56.6   183.4   299.3   674.5
1975   69.9   21.8   77.2   59.0   53.4   26.1   34.4   16.3   91.6   15.2   58.1   32.1   124.1   189.6    76.8   165.0   555.2
1976   37.6   18.4   13.5   13.7   29.5   11.6   33.2   40.8   87.6   98.1   68.8   59.8    88.1    56.8    85.6   254.4   512.6
1977   64.7   81.3   44.7   31.6   39.9   50.6   10.1   97.4   16.5   23.2   55.2   57.4   205.7   116.2   158.1    94.9   572.5
1978   72.5   46.2   59.7   44.3   48.3   67.1   62.0   47.3   33.7    6.2   23.0  104.8   176.2   152.3   176.4    62.8   615.0
1979   63.1   57.2   88.3   55.4   79.0   32.4   21.1   58.2   19.2   49.6   48.6   96.1   225.0   222.6   111.7   117.4   668.1
1980   38.4   46.8   61.5   23.3   15.2   84.1   66.2   48.9   27.8   81.1   49.9   43.7   181.3    99.9   199.2   158.8   586.8
1981   41.8   24.7   92.9   69.0   66.9   32.2   57.8   29.7   77.8   70.5   37.4   53.4   110.2   228.7   119.7   185.7   654.0
1982   37.3   19.5   53.6   13.2   57.3   98.8   24.7   52.8   50.2  122.4   72.2   54.6   110.2   124.1   176.3   244.8   656.7
1983   42.3   40.9   37.0   92.1   93.6   22.2   31.5   12.8   64.5   38.9   48.4   42.7   137.8   222.8    66.4   151.7   566.9
1984   83.1   37.0   46.5   12.7   72.9   50.2   24.4   41.4   93.4   54.6   76.4   44.9   162.9   132.1   116.0   224.3   637.5
1985   54.8   12.3   40.8   41.9   53.1  109.4   50.0   55.2   14.5   14.5   51.4   84.5   112.1   135.7   214.6    80.4   582.3
1986   64.1   17.0   53.1   59.3   53.8   20.9   54.6   86.5   28.4   71.3   62.7   69.5   165.6   166.2   162.1   162.4   641.2
1987   22.1   28.7   45.6   42.9   53.1   93.8   80.5   91.6   38.0  130.0   53.5   25.2   120.3   141.5   265.9   221.5   704.9
1988  116.5   32.6   75.0   31.4   44.7   37.4   95.1   41.1   41.0   57.1   34.8   22.2   174.3   151.2   173.6   132.9   629.1
1989   31.9   40.4   50.2   72.6    9.5   54.6   44.6   35.9   25.0   39.3   30.8  104.3    94.5   132.3   135.1    95.1   539.2
1990   53.8   78.9   15.3   39.5   14.3   43.2   18.6   32.3   32.3   50.9   56.8   47.9   237.1    69.1    94.2   139.9   483.8
1991   43.6   38.1   28.7   47.0   14.8   84.9   40.6   21.8   56.9   23.9   58.2   22.3   129.6    90.5   147.2   138.9   480.7
1992   39.0   16.7   64.0   48.7   51.9   33.7   81.3   77.4   83.3   75.3   87.6   40.0    78.0   164.7   192.5   246.2   699.0
1993   56.9   17.9   18.1   66.4   51.8   46.8   64.0   43.4  103.1   98.6   65.2   86.4   114.8   136.4   154.2   266.9   718.7
1994   71.1   41.0   51.2   52.4   52.2   27.6   32.2   59.1   74.0   75.0   25.2   56.0   198.5   155.8   119.0   174.2   616.9
1995  102.5   66.4   54.8   15.3   26.0   27.2   29.3    8.1  103.6   11.9   33.1   71.4   224.9    96.1    64.6   148.5   549.5
1996   31.7   49.9   19.5    9.2   21.8   14.0   42.3   80.9   17.5   41.7   95.0   33.6   152.9    50.5   137.3   154.3   457.3
1997   10.7   46.0   10.9   13.5   42.9  128.8   34.0   47.2   12.1   49.1   57.0   80.2    90.3    67.3   209.9   118.3   532.4
1998   61.5    6.9   50.2  117.8   15.4   96.1   32.2   34.3   76.1   93.2   59.4   69.1   148.6   183.4   162.6   228.7   712.2
1999   66.5   28.7   49.5   42.6   25.9   87.6   30.5   96.9   79.6   51.9   37.4   72.3   164.2   118.0   215.0   168.8   669.3
2000   21.3   60.1   16.5   93.4   91.9   17.2   60.4   39.1   81.0  125.0  110.1   63.7   153.7   201.7   116.6   316.1   779.5
2001   54.1   84.5   89.4   73.3   39.8   36.8   80.1   72.6   85.5   86.6   52.3   24.2   202.3   202.4   189.5   224.4   779.2
2002   45.3   56.9   35.7   32.5   58.1   34.1   68.9   54.8   30.5   85.0  105.9   99.6   126.4   126.4   157.9   221.4   707.6
2003   80.3   17.2   17.5   25.1   45.5   63.7   54.9    5.6   21.1   39.8   85.6   60.2   197.1    88.0   124.2   146.5   516.4
2004   83.5   37.4   33.1   58.8   44.6   39.3   70.0  116.6   29.5   88.7   45.4   29.7   181.1   136.5   225.9   163.7   676.7
2005   28.8   40.4   31.7   38.5   39.1   45.4   51.8   54.5   61.3   66.2   39.8   32.1    98.9   109.3   151.7   167.2   529.6
2006   15.6   38.1   37.9   34.3   81.2   20.1   28.7  105.9   56.7   66.3   66.7   55.3    85.8   153.4   154.7   189.7   606.9
2007   65.2   65.4   38.9    1.0  118.1   99.6   73.8   53.8   34.0   52.5   41.2   45.6   185.9   158.0   227.1   127.7   689.0
2008   70.6   18.6   83.3   45.6   68.1   43.3   54.6   80.6   51.6   60.3   80.9   27.1   134.9   196.9   178.6   192.9   684.8
2009   47.5   58.7   35.4   16.1   33.5   49.4   79.8   34.1   15.9   42.8  104.2   79.6   133.3    85.0   163.3   163.0   597.1
2010   49.4   82.3   34.0   15.1   25.4   30.4   29.8  122.2   59.0   60.4   51.2   25.6   211.4    74.5   182.4   170.5   584.8
2011   65.1   41.2    7.3    4.3   16.2   68.9   51.9   59.5   25.7   25.4   29.9   59.0   131.9    27.8   180.3    81.0   454.4
2012   42.0   17.8   34.1  112.6   48.5   98.8  107.2   47.8   40.3   88.1   74.6   98.0   118.8   195.2   253.9   203.0   809.9
2013   47.0   31.2   53.1   23.8   48.9   20.3   32.7   52.1   43.5   96.7   52.9   59.3   176.1   125.8   105.0   193.1   561.4
2014  101.9   73.5   21.6   19.4   93.6   37.6   58.2   95.1   17.9   79.4   87.7   50.3   234.8   134.6   190.9   185.1   736.3
2015   55.4   38.7   24.0   20.7   50.0   22.0   84.2   72.4   50.3   43.3   71.2   51.6   144.4    94.8   178.7   164.8   583.9
2016   69.1   28.4   65.4   55.4   48.8  102.4   27.3   27.8   42.4   32.6   69.1   19.5   149.1   169.5   157.5   144.0   588.1
2017   47.5   37.7   32.8   13.5   61.3   64.1   79.0   60.3   58.0   18.0   42.3   89.8   104.7   107.5   203.5   118.2   604.2
2018   54.4   43.0   70.6   65.6   37.4    5.8   24.2   61.1   29.8   56.1   47.9   60.8   187.2   173.6    91.0   133.8   556.6
2019   26.1   27.9   47.1   11.0   40.9   87.8   41.5   36.7   63.7   92.1   71.5   81.6   114.8    99.0   166.0   227.3   627.9
2020   50.3   78.7   24.6   27.0    2.8   59.6   52.1   80.9   59.2  113.6   38.4  109.9   210.6    54.4   192.7   211.3   697.2
2021   94.5   44.7   33.6    4.8   81.2   60.0   58.4   32.1   49.9   82.9   26.5   66.8   249.2   119.5   150.5   159.3   635.3
2022   16.8   65.0   29.3   11.7   36.8   35.4    5.0   32.5   50.5   64.1  102.9   54.4   148.5    77.8    72.9   217.5   504.3
2023   48.5    6.1   91.5   53.8   45.2   23.1   79.2   55.8   51.2  122.7   74.7   82.7   109.1   190.4   158.1   248.6   734.5
