Year,Month,Depth,sulfate mM,d34s pm,hs mM
2021,5,30,15.14505704,47.9822,10.28469
2021,5,32,15.47396751,46.2489,6.624491
2021,5,34,14.32039001,46.0586,5.607397
2021,5,36,14.83856431,,4.650526
2021,6,0,7.70440052,50.5412,16.04521
2021,6,2,10.70159262,49.8696,13.47133
2021,6,4,11.61362696,51.97,11.75276
2021,6,6,11.69514873,54.9804,11.72108
2021,6,8,11.18630623,,11.07167
2021,6,10,10.95941574,57.3202,15.06318
2021,6,12,10.16657494,58.0966,18.02513
2021,6,14,,,12.41009
2021,6,16,10.76945981,55.6054,17.00349
2021,6,18,,56.1478,17.16188
2021,6,20,11.37877803,55.6742,14.5088
2021,6,22,12.00318018,53.4586,17.85089
2021,6,24,12.94403451,51.341,15.53836
2021,6,26,,47.3464,13.55844
2021,6,28,13.08415486,48.7938,11.87156
2021,6,30,12.64874674,43.6062,11.95867
2021,6,32,13.68910132,46.4296,8.735376
2021,6,34,,45.72,13.18622
2021,6,36,14.72511061,45.1074,11.78444
2021,7,0,3.158200229,,24.37609
2021,7,2,5.155487958,52.1006,22.97629
2021,7,4,7.12729266,58.3974,24.28693
2021,7,6,7.961831532,61.6482,24.33151
2021,7,8,8.734673638,63.217,21.40709
2021,7,10,10.23245019,59.0498,16.44093
2021,7,12,10.20607829,60.3576,20.31935
2021,7,14,,,15.88815
2021,7,16,10.96668771,59.6262,18.35785
2021,7,18,11.63053714,55.237,16.34286
2021,7,20,11.70876745,56.0938,15.37102
2021,7,22,11.77032553,56.3886,18.1617
2021,7,24,12.76935422,53.3094,15.18379
2021,7,26,,52.5002,15.64742
2021,7,28,13.19341185,50.808,15.23728
2021,7,30,13.6168703,49.6748,13.47194
2021,7,32,14.62043509,46.6576,13.3382
2021,7,34,14.39256342,47.2284,12.04539
2021,7,36,14.99876504,45.9262,8.8
2021,8,0,0.487076827,,24.7739
2021,8,2,1.375359013,,22.5501
2021,8,4,3.225548169,,24.16268
2021,8,6,4.784489302,,24.44878
2021,8,8,,,25.26807
2021,8,10,7.251032853,56.5456,24.89094
2021,8,12,8.908337073,54.478,23.56446
2021,8,14,,,21.39268
2021,8,16,10.22227619,54.8298,20.92451
2021,8,18,10.55801458,53.4222,23.6685
2021,8,20,11.18887232,52.4796,22.02991
2021,8,22,11.42241253,52.637,20.0532
2021,8,24,12.16336892,50.2124,18.80475
2021,8,26,,49.1248,
2021,8,28,13.30805199,47.5392,16.67199
2021,8,30,13.05957434,48.0406,18.19353
2021,8,32,13.55424363,46.552,13.6419
2021,8,34,13.94135727,44.8274,14.72129
2021,8,36,14.66586339,43.8018,
2021,9,0,8.910777923,,5.202703
2021,9,2,6.092933575,,2.727067
2021,9,4,4.942031862,,5.603336
2021,9,6,4.85122452,,3.940018
2021,9,8,5.821435166,,4.873907
2021,9,10,7.094627292,,3.967648
2021,9,12,7.707290315,,3.920677
2021,9,14,,,4.440119
2021,9,16,9.734974537,,4.658394
2021,9,18,10.28778208,,5.470712
2021,9,20,10.70087931,,4.525771
2021,9,22,10.91078355,,4.373807
2021,9,24,11.76398349,,3.89581
2021,9,26,,,3.511755
2021,9,28,12.81977308,,2.555762
2021,9,30,13.01147524,47.107,2.57234
2021,9,32,13.51367856,45.8917,3.884758
2021,9,34,13.56851971,45.6974,3.293479
2021,9,36,14.21972273,45.0451,2.978499
2021,10,0,13.8839275,,3.660956
2021,10,2,9.59490491,,4.354466
2021,10,4,,,3.022707
2021,10,6,9.607701893,,5.362956
2021,10,8,6.746333604,,
2021,10,10,,,4.456696
2021,10,12,7.679600638,,4.898774
2021,10,14,,,5.122576
2021,10,16,9.456752495,,3.716216
2021,10,18,9.852208139,,4.788255
2021,10,20,10.89774206,,4.487089
2021,10,22,11.66703183,,3.973174
2021,10,24,,,4.373807
2021,10,26,,,4.448408
2021,10,28,13.60103729,,2.884557
2021,10,30,13.74976132,,3.484125
2021,10,32,,,3.080729
2021,10,34,,,2.307093
2021,10,36,14.52251802,,2.865217
